Date,CampaignID,CampaignName,Platform,TargetAudience,Impressions,Clicks,Leads,Applications,Enrollments,Cost (₹),Revenue (₹),Region,CTR,CPC,Conversion_Rate,CPA,ROAS
2024-01-01,AD004,Hackathon,YouTube,17–21 Age,285708,16956,4087,2547,1148,275457.87,4615838.04,West India,5.934730564072409,16.245451167728238,24.103562160887,239.94587979094075,16.756965557019665
2024-01-02,AD004,Hackathon,YouTube,17–21 Age,140449,10082,1815,951,565,133025.86,3513169.9,North India,7.178406396627958,13.194391985717118,18.00238048006348,235.444,26.40967628399471
2024-01-03,AD004,Hackathon,YouTube,17–21 Age,140958,7474,1169,683,343,135765.61,1051924.88,North India,5.30228862498049,18.1650535188654,15.64088841316564,395.8181049562682,7.7480952650674935
2024-01-04,AD004,Hackathon,YouTube,22–27 Age,257823,16841,3179,1584,698,229715.44,3850639.56,West India,6.532000636095306,13.640249391366309,18.876551273677336,329.1052148997135,16.762650172752863
2024-01-05,AD004,Hackathon,YouTube,25–35 Age,98595,7293,1340,854,368,52360.96,1543262.86,West India,7.39692682184695,7.179618812559989,18.373783079665433,142.28521739130434,29.47354021011074
2024-01-06,AD004,Hackathon,YouTube,22–27 Age,68114,5377,909,505,222,27454.35,1717163.91,North India,7.894118683383739,5.1058861818858094,16.905337548819045,123.66824324324324,62.546150610012624
2024-01-07,AD004,Hackathon,YouTube,17–21 Age,175572,6855,1452,757,346,95497.97,2598807.52,East India,3.9043811086050164,13.931140773158278,21.181619256017505,276.0056936416185,27.21322264755994
2024-01-08,AD004,Hackathon,YouTube,22–27 Age,231966,9373,1934,1247,553,175649.0,2558956.35,West India,4.0406783752791355,18.73989117678438,20.633735196841993,317.629294755877,14.568579098087664
2024-01-09,AD004,Hackathon,YouTube,17–21 Age,281339,12310,2329,1319,734,126723.85,4265725.03,West India,4.375504284866301,10.294382615759545,18.9195775792039,172.6482970027248,33.66158012086912
2024-01-10,AD004,Hackathon,YouTube,22–27 Age,98805,6952,1479,955,455,49446.12,3012430.04,North India,7.0360811699812755,7.112502876869966,21.274453394706562,108.67279120879121,60.923486817570314
2024-01-11,AD004,Hackathon,YouTube,25–35 Age,144093,11451,1776,934,480,104177.45,1723113.84,North India,7.946950927525973,9.09767269234128,15.509562483625885,217.03635416666665,16.54018062450175
2024-01-12,AD004,Hackathon,YouTube,25–35 Age,158894,6588,1470,867,405,102314.09,3080880.49,Pan India,4.146160333303964,15.530371888281724,22.313296903460838,252.62738271604937,30.11198643314914
2024-01-13,AD004,Hackathon,YouTube,25–35 Age,66250,4921,871,392,210,51283.71,1495426.01,North India,7.427924528301887,10.421400121926437,17.699654541759806,244.20814285714286,29.1598640191983
2024-01-14,AD004,Hackathon,YouTube,25–35 Age,146445,6570,1466,803,436,60478.27,2107164.39,West India,4.486325924408481,9.20521613394216,22.313546423135463,138.71162844036695,34.84167768026434
2024-01-15,AD004,Hackathon,YouTube,22–27 Age,95097,7359,1754,1030,512,47007.7,2174797.75,South India,7.738414461024007,6.387783666259002,23.834760157630114,91.8119140625,46.26471301510178
